,ISO3,Supply-BaU2,Supply-HalfW2,Folate (ug DFE/day),Ft2030,BaU_needed,BaU_needed_low,BaU_needed_high,HalfW_needed,HalfW_needed_low,HalfW_needed_high,BaU_needed2030,BaU_needed2030_low,BaU_needed2030_high,HalfW_needed2030,HalfW_needed2030_low,HalfW_needed2030_high
55,GEO,389391284357.9685,445155897852.30743,534406591279.19104,502086650723.599,145015306921.22253,145015306921.22253,145015306921.22253,89250693426.8836,89250693426.8836,89250693426.8836,112695366365.6305,112695366365.6305,112695366365.6305,56930752871.291565,56930752871.291565,56930752871.291565
56,GHA,5354664249109.326,6843105371416.275,3419294447831.396,4814439485786.867,-1935369801277.9302,-1935369801277.9302,-1935369801277.9302,-3423810923584.8794,-3423810923584.8794,-3423810923584.8794,-540224763322.459,-540224763322.459,-540224763322.459,-2028665885629.4082,-2028665885629.4082,-2028665885629.4082
57,GIN,1608578646365.5127,1905670036591.9321,1476158742945.3027,2230993177108.8506,-132419903420.20996,-132419903420.20996,-132419903420.20996,-429511293646.6294,-429511293646.6294,-429511293646.6294,622414530743.3379,622414530743.3379,622414530743.3379,325323140516.91846,325323140516.91846,325323140516.91846
58,GMB,326682970741.4432,362170278224.193,235967184399.84525,376018689104.12933,-90715786341.59793,-90715786341.59793,-90715786341.59793,-126203093824.34775,-126203093824.34775,-126203093824.34775,49335718362.68616,49335718362.68616,49335718362.68616,13848410879.93634,13848410879.93634,13848410879.93634
59,GRC,2022950009431.812,2414002745250.4844,1494483663998.7698,1420587162442.089,-528466345433.04224,-528466345433.04224,-528466345433.04224,-919519081251.7146,-919519081251.7146,-919519081251.7146,-602362846989.7229,-602362846989.7229,-602362846989.7229,-993415582808.3953,-993415582808.3953,-993415582808.3953
60,GRD,7406550675.279015,9058812818.575418,13996178055.40017,14918358762.038504,6589627380.121155,6589627380.121155,6589627380.121155,4937365236.824751,4937365236.824751,4937365236.824751,7511808086.759489,7511808086.759489,7511808086.759489,5859545943.463085,5859545943.463085,5859545943.463085
61,GTM,1890768151875.4358,2310480224985.831,2043883050936.032,2768197347747.0454,153114899060.5962,153114899060.5962,153114899060.5962,-266597174049.79907,-266597174049.79907,-266597174049.79907,877429195871.6096,877429195871.6096,877429195871.6096,457717122761.21436,457717122761.21436,457717122761.21436
62,GUY,108825633723.99417,130770520072.07368,101180546475.18878,110488550329.99655,-7645087248.805389,-7645087248.805389,-7645087248.805389,-29589973596.884903,-29589973596.884903,-29589973596.884903,1662916606.0023804,1662916606.0023804,1662916606.0023804,-20281969742.077133,-20281969742.077133,-20281969742.077133
63,HND,675308544751.2074,815299651393.5094,1146563944287.9182,1475191766768.2605,471255399536.7108,471255399536.7108,471255399536.7108,331264292894.4088,331264292894.4088,331264292894.4088,799883222017.0531,799883222017.0531,799883222017.0531,659892115374.7511,659892115374.7511,659892115374.7511
64,HRV,612786394088.9353,756615178500.7202,571672804227.1987,519610389686.9107,-41113589861.73657,-41113589861.73657,-41113589861.73657,-184942374273.52148,-184942374273.52148,-184942374273.52148,-93176004402.0246,-93176004402.0246,-93176004402.0246,-237004788813.8095,-237004788813.8095,-237004788813.8095
65,HUN,2348644016980.803,2917451322712.461,1330974259031.629,1247327557642.6484,-1017669757949.1743,-1017669757949.1743,-1017669757949.1743,-1586477063680.832,-1586477063680.832,-1586477063680.832,-1101316459338.1548,-1101316459338.1548,-1101316459338.1548,-1670123765069.8125,-1670123765069.8125,-1670123765069.8125
66,IDN,20462663075237.19,24465020073544.35,33911081982681.72,39865406238706.72,13448418907444.527,13448418907444.527,13448418907444.527,9446061909137.367,9446061909137.367,9446061909137.367,19402743163469.527,19402743163469.527,19402743163469.527,15400386165162.367,15400386165162.367,15400386165162.367
67,IND,162836027956601.06,194752617284668.38,171444638613185.6,203177020885273.25,8608610656584.531,8608610656584.531,8608610656584.531,-23307978671482.78,-23307978671482.78,-23307978671482.78,40340992928672.19,40340992928672.19,40340992928672.19,8424403600604.875,8424403600604.875,8424403600604.875
68,IRL,835688098479.7543,984757943694.248,623765238838.2365,699985712875.8254,-211922859641.51782,-211922859641.51782,-211922859641.51782,-360992704856.0116,-360992704856.0116,-360992704856.0116,-135702385603.92883,-135702385603.92883,-135702385603.92883,-284772230818.4226,-284772230818.4226,-284772230818.4226
69,IRN,11848476878397.686,13820271248994.79,10501061162205.592,12153777978207.066,-1347415716192.0938,-1347415716192.0938,-1347415716192.0938,-3319210086789.1973,-3319210086789.1973,-3319210086789.1973,305301099809.38086,305301099809.38086,305301099809.38086,-1666493270787.7227,-1666493270787.7227,-1666493270787.7227
70,ISL,77897483819.90881,92668354990.82689,43589715270.33293,48302851957.49943,-34307768549.575882,-34307768549.575882,-34307768549.575882,-49078639720.49396,-49078639720.49396,-49078639720.49396,-29594631862.409386,-29594631862.409386,-29594631862.409386,-44365503033.32746,-44365503033.32746,-44365503033.32746
71,ISR,1400711253815.5254,1620309273871.4954,1028766971643.7217,1302227715336.8557,-371944282171.8037,-371944282171.8037,-371944282171.8037,-591542302227.7737,-591542302227.7737,-591542302227.7737,-98483538478.66968,-98483538478.66968,-98483538478.66968,-318081558534.63965,-318081558534.63965,-318081558534.63965
72,ITA,9816678737588.193,11713179835042.488,7885094921358.049,7591238273195.571,-1931583816230.1445,-1931583816230.1445,-1931583816230.1445,-3828084913684.4395,-3828084913684.4395,-3828084913684.4395,-2225440464392.622,-2225440464392.622,-2225440464392.622,-4121941561846.917,-4121941561846.917,-4121941561846.917
73,JAM,302207789607.3004,353050986456.58923,381524685164.5668,389462330909.0891,79316895557.26636,79316895557.26636,79316895557.26636,28473698707.97754,28473698707.97754,28473698707.97754,87254541301.7887,87254541301.7887,87254541301.7887,36411344452.49988,36411344452.49988,36411344452.49988
74,JOR,921567466305.1942,1055024241495.5522,1126598191006.7283,1462003706745.639,205030724701.53406,205030724701.53406,205030724701.53406,71573949511.17603,71573949511.17603,71573949511.17603,540436240440.4447,540436240440.4447,540436240440.4447,406979465250.0867,406979465250.0867,406979465250.0867
75,JPN,10650254481608.982,12212761134698.27,16895712628880.074,15840401739838.812,6245458147271.092,6245458147271.092,6245458147271.092,4682951494181.805,4682951494181.805,4682951494181.805,5190147258229.83,5190147258229.83,5190147258229.83,3627640605140.543,3627640605140.543,3627640605140.543
76,KAZ,4238119826723.391,5297753119384.011,2295277596692.975,2716239382959.422,-1942842230030.416,-1942842230030.416,-1942842230030.416,-3002475522691.0356,-3002475522691.0356,-3002475522691.0356,-1521880443763.9692,-1521880443763.9692,-1521880443763.9692,-2581513736424.589,-2581513736424.589,-2581513736424.589
77,KEN,6117444315226.517,7269302719155.184,5783266649750.998,8592081675776.589,-334177665475.51855,-334177665475.51855,-334177665475.51855,-1486036069404.1855,-1486036069404.1855,-1486036069404.1855,2474637360550.0723,2474637360550.0723,2474637360550.0723,1322778956621.4053,1322778956621.4053,1322778956621.4053
78,KGZ,784661380421.4292,962408289035.825,746909254538.5261,920938393554.3783,-37752125882.903076,-37752125882.903076,-37752125882.903076,-215499034497.29883,-215499034497.29883,-215499034497.29883,136277013132.9491,136277013132.9491,136277013132.9491,-41469895481.446655,-41469895481.446655,-41469895481.446655
79,KHM,2330866365010.5107,2901845467938.1553,1995618091618.8628,2500782983115.5654,-335248273391.64795,-335248273391.64795,-335248273391.64795,-906227376319.2925,-906227376319.2925,-906227376319.2925,169916618105.0547,169916618105.0547,169916618105.0547,-401062484822.58984,-401062484822.58984,-401062484822.58984
80,KIR,10625362484.774773,12677453979.231667,14198636537.998253,18497405463.35978,3573274053.22348,3573274053.22348,3573274053.22348,1521182558.7665863,1521182558.7665863,1521182558.7665863,7872042978.585007,7872042978.585007,7872042978.585007,5819951484.128113,5819951484.128113,5819951484.128113
81,KOR,5811848108080.96,6866823041245.72,6937299509855.368,7157748830343.151,1125451401774.4082,1125451401774.4082,1125451401774.4082,70476468609.64844,70476468609.64844,70476468609.64844,1345900722262.1914,1345900722262.1914,1345900722262.1914,290925789097.43164,290925789097.43164,290925789097.43164
82,KWT,472477916346.95905,533652345423.6377,511739298460.6533,673353304995.8167,39261382113.694275,39261382113.694275,39261382113.694275,-21913046962.984375,-21913046962.984375,-21913046962.984375,200875388648.8576,200875388648.8576,200875388648.8576,139700959572.17896,139700959572.17896,139700959572.17896
83,LBN,663979005749.0011,773965245938.9244,750539078925.4003,726965185650.4352,86560073176.39917,86560073176.39917,86560073176.39917,-23426167013.52417,-23426167013.52417,-23426167013.52417,62986179901.43408,62986179901.43408,62986179901.43408,-47000060288.48926,-47000060288.48926,-47000060288.48926
84,LBY,306260533266.1923,384203900397.57324,820377819899.6368,990868901221.4619,514117286633.4445,514117286633.4445,514117286633.4445,436173919502.0636,436173919502.0636,436173919502.0636,684608367955.2695,684608367955.2695,684608367955.2695,606665000823.8887,606665000823.8887,606665000823.8887
85,LCA,31032403270.942265,33909316412.258965,23838188516.551468,25164377454.56251,-7194214754.390797,-7194214754.390797,-7194214754.390797,-10071127895.707497,-10071127895.707497,-10071127895.707497,-5868025816.379753,-5868025816.379753,-5868025816.379753,-8744938957.696453,-8744938957.696453,-8744938957.696453
86,LKA,1996752427459.8926,2239747190827.414,2764059482412.926,2910105314796.6904,767307054953.0332,767307054953.0332,767307054953.0332,524312291585.5117,524312291585.5117,524312291585.5117,913352887336.7979,913352887336.7979,913352887336.7979,670358123969.2764,670358123969.2764,670358123969.2764
87,LTU,503253430437.3081,787980560897.211,396441497456.9073,358484886157.7939,-106811932980.40082,-106811932980.40082,-106811932980.40082,-391539063440.3038,-391539063440.3038,-391539063440.3038,-144768544279.51422,-144768544279.51422,-144768544279.51422,-429495674739.4172,-429495674739.4172,-429495674739.4172
88,LVA,215339139725.6155,368835189677.9208,269864264108.4985,232786398737.39005,54525124382.882996,54525124382.882996,54525124382.882996,-98970925569.42227,-98970925569.42227,-98970925569.42227,17447259011.774536,17447259011.774536,17447259011.774536,-136048790940.53073,-136048790940.53073,-136048790940.53073
89,MAR,5264255435413.63,6306571237702.614,4536951400011.615,5478508278879.259,-727304035402.0146,-727304035402.0146,-727304035402.0146,-1769619837690.999,-1769619837690.999,-1769619837690.999,214252843465.6289,214252843465.6289,214252843465.6289,-828062958823.3555,-828062958823.3555,-828062958823.3555
90,MDA,378276548333.4064,500356969885.2674,555672041428.1741,525055160711.89703,177395493094.7677,177395493094.7677,177395493094.7677,55315071542.90668,55315071542.90668,55315071542.90668,146778612378.49066,146778612378.49066,146778612378.49066,24698190826.62964,24698190826.62964,24698190826.62964
91,MDG,1527833574946.0957,1885168936931.361,2962781766447.7134,4522921938396.816,1434948191501.6177,1434948191501.6177,1434948191501.6177,1077612829516.3523,1077612829516.3523,1077612829516.3523,2995088363450.7207,2995088363450.7207,2995088363450.7207,2637753001465.455,2637753001465.455,2637753001465.455
92,MDV,46970863427.4001,49670631102.80475,54479185825.09692,69747183869.48117,7508322397.6968155,7508322397.6968155,7508322397.6968155,4808554722.292168,4808554722.292168,4808554722.292168,22776320442.08107,22776320442.08107,22776320442.08107,20076552766.676422,20076552766.676422,20076552766.676422
